key,name,gap_kind,reason,evidence
BaGa2GeSe6,Barium gallium germanium selenide (BGGSe),density,no stated density and no supported single MP entry (see flags),mp-1227970 P1 (#1) hull=0.0163eV rho=4.883 nsites=10 theoretical
GaSe,GaSe,deferred_decision,"all four GaSe formula pages give n^2 <= 0 inside their own stated ranges (reststrahlen band: Kato 2013 o 39.4-47.1 um, e 37.3-44.6 um; Chen 2009 n-formula o 39.2-46.8 um and 511.6-512.0 um, e 40.7-42.2 um), which the pipeline would store as floored n ~1e-15; Kato 2013 page title says 0.8-162 um but its data file says 0.8-1620 um; density needs a polytype choice (MP: P6_3mc mp-568263, P6_3/mmc mp-1943, P-6m2 (epsilon) mp-1572, R3m (gamma) mp-11342 all within 1.5 meV of the hull). Recommended: drop n^2<=0 samples instead of flooring, use the narrower 0.8-162 um range, epsilon-GaSe (P-6m2) density.",
SnSe,SnSe page Guo-α,excluded_page,"alpha-axis data is physically implausible for SnSe (narrow-gap semiconductor, epsilon_inf > 10 on every axis): the source gives n = 1.24-1.49 and k = 0.000 exactly over 0.19-1.7 um, while its beta and gamma axes have n ~2.5-2.7, k ~1.5-1.9 at 0.6 um. Not loaded (the DB cannot carry a warning); beta and gamma are loaded. Reversible user decision.",
CS2,CS2,out_of_family,liquid,
MoS2,MoS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
WS2,WS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
ReS2,ReS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
TaS2,TaS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
PtS2,PtS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
SnS2,SnS2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
NiPS3,NiPS3,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
MoSe2,MoSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
WSe2,WSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
NbSe2,NbSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
TaSe2,TaSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
PtSe2,PtSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
PdSe2,PdSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
SnSe2,SnSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
HfSe2,HfSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
ZrSe2,ZrSe2,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
In2Se3,In2Se3,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
MnPSe3,MnPSe3,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
Bi2Se3,Bi2Se3,out_of_family,"layered van der Waals material measured as nm-scale film / few-layer / exfoliated flake: n,k depend on thickness and substrate (2D / thin-film follow-up)",
