idx,name,formula,notes,abbreviation,polymer_group,materialclass,tier,status,selection_key,ri_shelf,ri_book,n_selected_datasets,needs_specific_formulation,density_g_cm3,density_source,flags
2,High-density polyethylene (HDPE),(C2H4)n,,PE-HDPE,commodity,polymer,1,FOUND,PE-HDPE,organic,polyethylene,1,False,,,
4,Polyvinyl chloride,(C2H3Cl)n,,PVC,commodity,polymer,1,FOUND,PVC,organic,polyvinil_chloride,1,False,,,
5,Polystyrene,(C8H8)n,,PS,commodity,polymer,1,SELECTED_BY_USER,PS,organic,polystyrene,1,False,,,"materials_normalized.db already has 'PS' (id 4, formula (C8H8)n); separate DB here, matters at merge ; multi-match resolved by user: polystyrene/Zhang"
6,Poly(methyl methacrylate) (Tomson),(C5H8O2)n,,PMMA-Tomson,commodity,polymer,1,FOUND,PMMA-Tomson,organic,poly_methyl_methacrylate,1,False,,,"Zhang 2020 bulk sample, manufacturer Tomson (China); n differs -0.52% from the Mitsubishi row at 633 nm"
7,Poly(methyl methacrylate) (Mitsubishi),(C5H8O2)n,,PMMA-Mitsubishi,commodity,polymer,1,FOUND,PMMA-Mitsubishi,organic,poly_methyl_methacrylate,1,False,,,"Zhang 2020 bulk sample, manufacturer Mitsubishi (Japan)"
8,Polycarbonate,(C16H14O3)n,,PC,commodity,polymer,1,SELECTED_BY_USER,PC,organic,polycarbonate,1,False,,,multi-match resolved by user: polycarbonate/Zhang
9,Polyethylene terephthalate,(C10H8O4)n,,PET,commodity,polymer,1,FOUND,PET,organic,polyethylene_terephthalate,1,False,,,
11,Polyvinyl alcohol,(C2H4O)n,,PVA,commodity,polymer,1,SELECTED_BY_USER,PVA,organic,polyvinyl_alcohol,1,False,,,"materials_normalized.db already has 'PVA' (id 26, formula C2H4O); separate DB here, matters at merge ; multi-match resolved by user: polyvinyl_alcohol/Schnepf"
13,Polyvinylpyrrolidone,(C6H9NO)n,,PVP,commodity,polymer,1,FOUND,PVP,organic,polyvinylpyrrolidone,1,False,,,
27,Polyetherimide (PEI),(C37H24O6N2)n,,PEI,engineering,polymer,1,FOUND,PEI,organic,polyetherimide,1,False,,,"NAME COLLISION: the DB's existing 'PEI' row is (C2H5N)n = polyethylenimine, a different polymer ; materials_normalized.db already has 'PEI' (id 17, formula (C2H5N)n); separate DB here, matters at merge"
37,Styrene-acrylonitrile copolymer,(C8H8)n-(C3H3N)m,,SAN,engineering,polymer,1,FOUND,SAN,other,C8H8_n-C3H3N_m,1,False,,,
39,"Polydimethylsiloxane (Dow Corning, 5:1 mass ratio)",(C2H6OSi)n,,PDMS-5-1,optical,polymer,1,FOUND,PDMS-5-1,organic,polydimethylsiloxane,1,False,,,
40,"Polydimethylsiloxane (Dow Corning, 10:1 mass ratio)",(C2H6OSi)n,,PDMS-10-1,optical,polymer,1,FOUND,PDMS-10-1,organic,polydimethylsiloxane,1,False,,,
41,"Polydimethylsiloxane (Dow Corning, 15:1 mass ratio)",(C2H6OSi)n,,PDMS-15-1,optical,polymer,1,FOUND,PDMS-15-1,organic,polydimethylsiloxane,1,False,,,
42,"Polydimethylsiloxane (Dow Corning, 20:1 mass ratio)",(C2H6OSi)n,,PDMS-20-1,optical,polymer,1,FOUND,PDMS-20-1,organic,polydimethylsiloxane,1,False,,,
43,SU-8 3000 (epoxy photoresist),,grade: SU-8 3000,SU-8,optical,photoresist,1,SELECTED_BY_USER,SU-8,other,Microchem_SU8_3000,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token ; multi-match resolved by user: Microchem_SU8_3000/specs"
44,Zeonex E48R (cyclo olefin polymer),,grade: Zeonex E48R,COP-Zeonex-E48R,optical,polymer,1,FOUND,COP-Zeonex-E48R,other,ZeonexE48R,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
46,Optorez 1330,,grade: Optorez 1330,Optorez-1330,optical,polymer,1,FOUND,Optorez-1330,other,Optorez1330,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
47,NAS-21,,grade: NAS-21,NAS-21,optical,polymer,1,FOUND,NAS-21,other,NAS-21,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
48,Polymethylpentene (TPX),(C6H12)n,,PMP,optical,polymer,1,FOUND,PMP,organic,C6H12_n - polymethylpentene,1,False,,,
53,Kapton HN (polyimide film),,grade: Kapton HN,Kapton,optical,polymer,1,SELECTED_BY_USER,Kapton,other,Kapton,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token ; multi-match resolved by user: Kapton/French ; k-only pages not counted (no n): Philipp, Brannon"
54,Poly(D-lactic acid) (PDLA),(C3H4O2)n,,PLA,bio,polymer,1,FOUND,PLA,organic,polylactic_acid,1,False,,,"the only RI.info dataset is PDLA (poly-D-lactic acid), narrower than generic PLA; stereochemistry not generalized"
58,Cellulose,(C6H10O5)n,,cellulose,bio,polymer,1,SELECTED_BY_USER,cellulose,organic,cellulose,1,False,,,multi-match resolved by user: cellulose/Sultanova
64,Linear low-density polyethylene (LLDPE),(C2H4)n,,PE-LLDPE,batch2,polymer,1,FOUND,PE-LLDPE,organic,polyethylene,1,False,,,"David 2022: spin-coated ~270 nm film from toluene (2-12.3 um); a distinct polymer from LDPE/HDPE, does not fill the LDPE gap"
65,Polychlorotrifluoroethylene (PCTFE),(C2ClF3)n,,PCTFE,batch2,polymer,1,FOUND,PCTFE,organic,C2ClF3_n - polychlorotrifluoroethylene,1,False,,,
66,Poly(N-isopropylacrylamide) (PNIPAM),(C6H11NO)n,,PNIPAM,batch2,polymer,1,FOUND,PNIPAM,organic,poly_N-isopropylacrylamide,1,False,,,thermoresponsive polymer: the source states no temperature or swelling state
67,Surlyn A-1601 (DuPont ionomer resin),,grade: Surlyn A-1601,Surlyn-A1601,batch2,polymer,1,FOUND,Surlyn-A1601,other,SurlynA1601,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
68,MDMO-PPV,(C19H28O2)n,,MDMO-PPV,batch2,organic_semiconductor,1,SELECTED_BY_USER,MDMO-PPV,organic,MDMO-PPV,2,False,,,multi-match resolved by user: MDMO-PPV/Kamptner-o; MDMO-PPV/Kamptner-e
69,ZZ50,(C31H38N2S3)n,,ZZ50,batch2,organic_semiconductor,1,SELECTED_BY_USER,ZZ50,organic,ZZ50,2,False,,,multi-match resolved by user: ZZ50/Kamptner-o; ZZ50/Kamptner-e
70,F8BT,(C35H42N2S)n,,F8BT,batch2,organic_semiconductor,1,SELECTED_BY_USER,F8BT,organic,F8BT,2,False,,,multi-match resolved by user: F8BT/Kamptner-o; F8BT/Kamptner-e
71,PTB7,(C41H53FO4S4)n,,PTB7,batch2,organic_semiconductor,1,SELECTED_BY_USER,PTB7,organic,PTB7,2,False,,,multi-match resolved by user: PTB7/Kamptner-o; PTB7/Kamptner-e
72,PDCBT,(C42H56O4S2)n,,PDCBT,batch2,organic_semiconductor,1,SELECTED_BY_USER,PDCBT,organic,PDCBT,2,False,,,multi-match resolved by user: PDCBT/Kamptner-o; PDCBT/Kamptner-e
73,PBDB-T-2F,(C68H76F2O2S8)n,,PBDB-T-2F,batch2,organic_semiconductor,1,SELECTED_BY_USER,PBDB-T-2F,organic,PBDB-T-2F,2,False,,,multi-match resolved by user: PBDB-T-2F/Kamptner-o; PBDB-T-2F/Kamptner-e
74,Micro resist ma-N 1407 (negative resist),,grade: ma-N 1407,maN-1407,batch2,photoresist,1,FOUND,maN-1407,other,microresist_ma-N1407,1,False,,,"Sarkar 2019: thin film, 1000 nm on glass ; formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
75,Micro resist EpoClad (negative photoresist),,grade: EpoClad,EpoClad,batch2,photoresist,1,FOUND,EpoClad,other,microresistEpoClad,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
76,Micro resist EpoCore (negative photoresist),,grade: EpoCore,EpoCore,batch2,photoresist,1,FOUND,EpoCore,other,microresistEpoCore,1,False,,,"formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
77,Microchem 8.5 mEL (copolymer resist),,grade: Microchem 8.5 mEL,Microchem-8.5mEL,batch2,photoresist,1,FOUND,Microchem-8.5mEL,other,Microchem85mEL,1,False,,,"the source does not state which copolymer ; formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
78,Nanoscribe IP-S (cured),,grade: Nanoscribe IP-S,IP-S,batch2,photoresist,1,FOUND,IP-S,other,Nanoscribe_IP-S,1,False,,,"far-IR / THz data (200-998 um) ; formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
79,Nanoscribe IP-Dip (cured),,grade: Nanoscribe IP-Dip,IP-Dip,batch2,photoresist,1,FOUND,IP-Dip,other,Nanoscribe_IP-Dip,1,False,,,"far-IR / THz data (200-998 um) ; formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
80,Microchem 495 PMMA resist,,grade: Microchem 495 PMMA resist,PMMA-495-resist,resists,photoresist,1,FOUND,PMMA-495-resist,other,Microchem495,1,False,,,"positive e-beam / deep-UV resist, PMMA of Mw 495,000; spec-sheet dispersion (not the bulk PMMA of PMMA-Tomson/Mitsubishi) ; formula not stated by source (grade-specific commercial material): formula NULL (valid), never a placeholder token"
81,Microchem 950 PMMA resist,(C5H8O2)n,,PMMA-950-resist,resists,photoresist,1,SELECTED_BY_USER,PMMA-950-resist,organic|other,Microchem950|poly_methyl_methacrylate,4,False,,,"positive e-beam / deep-UV resist, PMMA of Mw 950,000 (not the bulk PMMA of PMMA-Tomson/Mitsubishi) ; multi-match resolved by user: Microchem950/specs; poly_methyl_methacrylate/Tsuda; poly_methyl_methacrylate/Tsuda-LD; poly_methyl_methacrylate/Tsuda-BB"
